epoch,step,train_acc,train_loss,val_acc,val_f1,val_loss,val_precision,val_recall
0,68,,,0.16402116417884827,0.07633771002292633,2.106720447540283,0.42822015285491943,0.16402116417884827
0,68,0.3700137436389923,1.6244982481002808,,,,,
1,137,,,0.4365079402923584,0.397643506526947,1.5771443843841553,0.5063509345054626,0.4365079402923584
1,137,0.5497478246688843,1.2103536128997803,,,,,
2,206,,,0.5264550447463989,0.4948504865169525,1.3495182991027832,0.6189709305763245,0.5264550447463989
2,206,0.589179277420044,1.1044647693634033,,,,,
3,275,,,0.5370370149612427,0.5120912194252014,1.3092042207717896,0.5964484810829163,0.5370370149612427
3,275,0.651994526386261,0.9480744004249573,,,,,
4,344,,,0.5396825671195984,0.5169823169708252,1.311735987663269,0.5642538070678711,0.5396825075149536
4,344,0.6758368015289307,0.8634856939315796,,,,,
5,413,,,0.5661375522613525,0.554564356803894,1.1674933433532715,0.5650849342346191,0.5661375522613525
5,413,0.6648326516151428,0.9080497622489929,,,,,
6,482,,,0.5740740895271301,0.5626689195632935,1.1427110433578491,0.5927742123603821,0.5740740299224854
6,482,0.6804218292236328,0.8541952967643738,,,,,
7,551,,,0.5846560597419739,0.5766441822052002,1.2020461559295654,0.6068212985992432,0.5846560597419739
7,551,0.7326914072036743,0.7328628301620483,,,,,
8,620,,,0.5423280596733093,0.5364713668823242,1.2330578565597534,0.577506422996521,0.5423280596733093
8,620,0.725355327129364,0.7528629302978516,,,,,
9,689,,,0.5634920597076416,0.5653311610221863,1.213699221611023,0.5848339200019836,0.5634920597076416
9,689,0.6900504231452942,0.8067026138305664,,,,,
10,758,,,0.5820105671882629,0.5917071104049683,1.2097829580307007,0.6317257881164551,0.5820105671882629
10,758,0.6955525279045105,0.8061555624008179,,,,,
11,827,,,0.5952380895614624,0.6014963388442993,1.1631032228469849,0.6190247535705566,0.5952380895614624
11,827,0.7982577085494995,0.5852221846580505,,,,,
12,896,,,0.6164020895957947,0.6153301000595093,1.1575604677200317,0.6282898187637329,0.6164021492004395
12,896,0.8175148963928223,0.5515993237495422,,,,,
13,965,,,0.6216931343078613,0.6163073778152466,1.1704235076904297,0.6290412545204163,0.6216931343078613
13,965,0.8028427362442017,0.5721887350082397,,,,,
14,1034,,,0.6137565970420837,0.6174914836883545,1.1775156259536743,0.6370924711227417,0.6137566566467285
14,1034,0.8065107464790344,0.5718814730644226,,,,,
15,1103,,,0.6164020895957947,0.6189121603965759,1.1764919757843018,0.6363619565963745,0.6164021492004395
15,1103,0.8143053650856018,0.5370289087295532,,,,,
16,1172,,,0.6190476417541504,0.62159663438797,1.1769459247589111,0.6396049857139587,0.6190476417541504
16,1172,0.819348931312561,0.5360954403877258,,,,,
17,1241,,,0.6164020895957947,0.6187828779220581,1.1772422790527344,0.6358853578567505,0.6164021492004395
17,1241,0.8106372952461243,0.5425019264221191,,,,,
18,1310,,,0.6190476417541504,0.6219671368598938,1.1804900169372559,0.6430767774581909,0.6190476417541504
18,1310,0.8211829662322998,0.533860445022583,,,,,
19,1379,,,0.6216931343078613,0.624647855758667,1.1778185367584229,0.6477164030075073,0.6216931343078613
19,1379,0.8147638440132141,0.5393995642662048,,,,,
