epoch,step,train_acc,train_loss,val_acc,val_f1,val_loss,val_precision,val_recall
0,68,,,0.5198938846588135,0.4918714165687561,2.499192714691162,0.6709762215614319,0.5209144949913025
0,68,0.6689592003822327,0.8949962258338928,,,,,
1,137,,,0.7798408269882202,0.7665947675704956,1.119045376777649,0.7875041961669922,0.7797744274139404
1,137,0.874828040599823,0.3468261957168579,,,,,
2,206,,,0.7267904281616211,0.7179511785507202,1.4921495914459229,0.7855556011199951,0.7273135185241699
2,206,0.9073819518089294,0.2684623599052429,,,,,
3,275,,,0.692307710647583,0.6982932686805725,1.5787028074264526,0.8135753870010376,0.6930218935012817
3,275,0.9280146956443787,0.2103530466556549,,,,,
4,344,,,0.790450930595398,0.7803092002868652,0.9308842420578003,0.826813817024231,0.7907058000564575
4,344,0.9449793696403503,0.16755154728889465,,,,,
5,413,,,0.7188329100608826,0.7044535279273987,1.680910348892212,0.7772195935249329,0.7194269895553589
5,413,0.9266391396522522,0.2078806608915329,,,,,
6,482,,,0.7957559823989868,0.7927956581115723,0.9393113255500793,0.8371739387512207,0.7962464094161987
6,482,0.9591930508613586,0.12965096533298492,,,,,
7,551,,,0.8169761300086975,0.8107960224151611,0.9897433519363403,0.8359746932983398,0.8171608448028564
7,551,0.9449793696403503,0.15289974212646484,,,,,
8,620,,,0.8567638993263245,0.8521847724914551,0.6402667164802551,0.856258749961853,0.8567934036254883
8,620,0.9578174948692322,0.12156765908002853,,,,,
9,689,,,0.8620689511299133,0.858026385307312,0.735129177570343,0.8680951595306396,0.8621842861175537
9,689,0.9646950960159302,0.09790229052305222,,,,,
10,758,,,0.8063660264015198,0.7959776520729065,0.9251458048820496,0.8225100636482239,0.8065788745880127
10,758,0.9633195996284485,0.11701999604701996,,,,,
11,827,,,0.8435013294219971,0.842973530292511,0.7297521829605103,0.8497290015220642,0.8436657786369324
11,827,0.9651535749435425,0.11443359404802322,,,,,
12,896,,,0.8143236041069031,0.8186026215553284,1.1818695068359375,0.8491300344467163,0.8144654035568237
12,896,0.9812012910842896,0.042835649102926254,,,,,
13,965,,,0.8673740029335022,0.8659905195236206,0.66241055727005,0.8708282709121704,0.8673754334449768
13,965,0.9926639199256897,0.02415589615702629,,,,,
14,1034,,,0.8779841065406799,0.8772710561752319,0.5952062010765076,0.8834664225578308,0.8780073523521423
14,1034,0.9944979548454285,0.022091470658779144,,,,,
15,1103,,,0.8779841065406799,0.8779370784759521,0.5952830910682678,0.886554479598999,0.8780074119567871
15,1103,0.9944979548454285,0.015682807192206383,,,,,
16,1172,,,0.8700265288352966,0.8694405555725098,0.6264485120773315,0.8753312826156616,0.8700209259986877
16,1172,0.9958734512329102,0.013539916835725307,,,,,
17,1241,,,0.8779841065406799,0.8769334554672241,0.6341195702552795,0.8822318911552429,0.8781072497367859
17,1241,0.9935809373855591,0.019362889230251312,,,,,
18,1310,,,0.883289098739624,0.8826869130134583,0.6105861067771912,0.8875972628593445,0.883348286151886
18,1310,0.9986245036125183,0.00995169673115015,,,,,
19,1379,,,0.8806366324424744,0.8799456357955933,0.6110870242118835,0.8854792714118958,0.880702793598175
19,1379,0.9981659650802612,0.006403098814189434,,,,,
20,1448,,,0.8779841065406799,0.8773430585861206,0.6086814999580383,0.8825748562812805,0.8780573010444641
20,1448,0.9972489476203918,0.009013039991259575,,,,,
21,1517,,,0.8779841065406799,0.8771110773086548,0.6062098741531372,0.8808189630508423,0.8780573010444641
21,1517,0.9986245036125183,0.005660795606672764,,,,,
22,1586,,,0.8779841065406799,0.8767585754394531,0.6040659546852112,0.8804298043251038,0.8780573010444641
22,1586,0.9990829825401306,0.005547909066081047,,,,,
23,1655,,,0.8779841065406799,0.8767585754394531,0.6060742735862732,0.8804298043251038,0.8780573010444641
23,1655,0.9990829825401306,0.005508230067789555,,,,,
24,1724,,,0.8779841065406799,0.8767585754394531,0.6061455011367798,0.8804298043251038,0.8780573010444641
24,1724,0.9981659650802612,0.008968446403741837,,,,,
25,1793,,,0.8779841065406799,0.8767585754394531,0.6074819564819336,0.8804298043251038,0.8780573010444641
25,1793,0.9972489476203918,0.010286993347108364,,,,,
26,1862,,,0.8753315806388855,0.8743482828140259,0.6115766167640686,0.8789646625518799,0.8754118084907532
26,1862,0.9977074861526489,0.007100545335561037,,,,,
27,1931,,,0.8779841065406799,0.8767585754394531,0.6098533868789673,0.8804298043251038,0.8780573010444641
27,1931,0.9981659650802612,0.008771597407758236,,,,,
28,2000,,,0.8753315806388855,0.8743482828140259,0.6109885573387146,0.8789646625518799,0.8754118084907532
28,2000,0.9977074861526489,0.007422420661896467,,,,,
29,2069,,,0.8779841065406799,0.8769200444221497,0.6106911897659302,0.8810721635818481,0.8780573010444641
29,2069,1.0,0.005413583014160395,,,,,
30,2138,,,0.8779841065406799,0.8767585754394531,0.60966956615448,0.8804298043251038,0.8780573010444641
30,2138,0.9977074861526489,0.007663587108254433,,,,,
31,2207,,,0.8753315806388855,0.8743482828140259,0.608333170413971,0.8789646625518799,0.8754118084907532
31,2207,0.9990829825401306,0.006489849649369717,,,,,
32,2276,,,0.8753315806388855,0.8743482828140259,0.6100783348083496,0.8789646625518799,0.8754118084907532
32,2276,0.9981659650802612,0.00610737781971693,,,,,
33,2345,,,0.8753315806388855,0.8743482828140259,0.6072710156440735,0.8789646625518799,0.8754118084907532
33,2345,0.9990829825401306,0.005900825373828411,,,,,
34,2414,,,0.8753315806388855,0.8743482828140259,0.6076511740684509,0.8789646625518799,0.8754118084907532
34,2414,0.9963319301605225,0.009667815640568733,,,,,
